行,科室,关键词,问题,病情分析/意见,相关问题1,相关问题2,相关问题3,相关问题4,相关问题5,相关问题6,
173,妇产科,宫颈疾病,妇科宫颈息肉,"病情分析：你好!宫颈息肉是宫颈炎症增生的临床的一种临床表现.轻时可没有临床的症状,检察时可发现.重时.阴道分泌物增多,或血性分泌物.有时有异味.轻时可保守治疗.但要定期复查.重时必须手术治疗指导意见：你这需要肿瘤细胞脱氧核糖检查后根据实际在医生的指导下治疗,要注意个人卫生,.不要过性生活,",妇科宫颈息肉会癌变吗,妇科宫颈息肉,宫颈息肉算妇科炎症吗,山西264医院妇科宫颈息肉治疗,妇科检查宫颈息肉，米粒大小，？妇科检查宫颈息肉，米...,妇科检查宫颈息肉，米粒大小，？妇科检查宫颈息肉，米...,
174,整形美容,整形美容其它,四川激光祛斑,病情分析：祛斑你可以试着用食物治疗 指导意见：四川第一        人民医院     可以实施激光祛斑,激光祛斑需要多少钱，我在四川达州,谁知道四川医科大学附属医院有没有激光祛斑,请问四川医科大学附属医院可以激,四川祛斑霜几十块钱的叫什么名字。听说效果很好,四川祛斑哪些地方专业点，听说祛斑专业的，会毁容，很...,请问我从四川到你们医院，激光美容科祛斑。检查和治疗...,
175,外科,性功能障碍,性功能障碍,"病情分析：你的情况根据年龄只要能够达到高潮需要注意方式并共同沟通即可达到共同满足,指导意见：暂时可以不需要药物帮助,注意方式即可,同时需要注意节制频率并注意合理的营养膳食及规律的生活习惯即可,并注意加强体质锻炼即可恢复健康.确实必要可以应用补肾壮阳延时药物即可,避免反复应用,必要的时候需要进一步检查化验 明确诊断并针对具体情况采取综合措施治疗即可恢复健康.",性功能障碍。,性功能障碍,性功能障碍,性功能障碍、,性功能障碍,性功能障碍,
176,皮肤科,白癜风,白斑病光疗法,"病情分析：白斑病有白癜风,白色糠疹,特发性点状白斑等.要弄清楚是什么病才能确定光疗有没有用.指导意见：首先白癜风光疗是效果很好的,是安全的,因为照射用的光是紫外线是可以照射的.不过如果是白色糠疹的话就需要外用药物来治疗了,光疗无效.特发性点状白斑不需要治疗,这个跟遗传有关系,光疗有一定的效果,但是效果不好.",如果光用药不用激光疗法外阴白斑能治好吗会不会复发,白癜风的光疗法是什么,白斑病,哪里治疗白斑病最好？,广东治白斑病哪家好?广东治白斑病哪家好,,
177,外科,肛肠疾病,体寒还会便秘怎么回事啊,"病情分析：上火和体寒是没有什么直接的关系的,上火是说明有什么事情让您分神,指导意见：建议你平时可以保持良好的心态.我知道一款治疗便秘很不错的产品.饮泰思通.这款产品对人体是没有任何的副作用的.其成分天然,也不会有依赖性的,效果很好的呢.便秘就是服用这款产品治疗好的呢,建议你可以去试试!  1",体寒同时又易上火、便秘 是怎么回事？,我体寒，便秘，现在胃经常痛，请问是怎么回事,便秘怎么回事？而且还会有点口气,小孩肚子疼、还会便秘、还会呕吐是怎么回事？感谢医生...,"肚子经常做按摩,也不便秘，但还会肚胀,怎么回事",便秘怎么办？便秘怎么回事？而且还会有点口气。,
178,妇产科,人流,药流的危险,"病情分析：药物流产给身体带来的伤害绝不比人工流产手术小.指导意见：因为它通过影响内分泌来达到迫使子宫内膜强行脱落的目的,在损伤子宫内膜的同时,还有扰乱内分泌平衡的危险,这些都会引起早期流产或胎儿畸形及胎停育甚至闭经等.具体采用哪种方法建议您检查后在医生的指导下采取合理的流产方式",药流危险还是人流危险,药流危险吗？,药流的危险,药流危险吗,药流会不会危险！,药流危险吗,
179,皮肤科,白癜风,白癜风禁忌,"病情分析：平时可多吃的食物： 肉（牛羊肉除外）,动物肝脏,蛋,蔬菜（萝卜,茄子,冬笋,木耳,海带等）,豆类,花生,黑芝麻,核桃等食物. 指导意见：忌食食物： 忌用酒,辣椒,鱼,虾,牛羊肉,西红柿,桔子,甜椒等,因这些食物中含有大量维生素C,维生素C能阻止多巴酶氧化成多巴色素,而多巴色素能中断黑色素的合成,从而阻止了病变处黑色素的再生.",白癜风饮食禁忌,白癜风患者食疗禁忌,白癜风患者饮食禁忌！,白癜风需要禁忌什么？,,,
180,整形美容,整形美容其它,成都激光祛斑,"病情分析：激光效果比较好,一般不会留疤,但容易复发,也就是黑色素再次浮现,要重复做.所以,留不留疤不仅跟痣的大小有关还跟你选择的方法有关,当然,跟个人体质也有关.指导意见：日常生活中每天吃一片维生素C和维生素E,可达到祛斑的作用. 2.用干净的茄子皮敷脸,一段时间后,小斑点就不那么明显了. 3.每天喝一杯西红柿汁或常用西红柿,对防止祛斑有较好的作用,平时饮食中多补充维生素A,E等营养素,它们有抗机体氧化和淡斑作用",想做个激光祛斑，成都哪里的整形医院比较正规呢？麻烦...,激光祛斑哪种技术彻底,请问医生！治疗祛斑，在成都那家医院比较好,祛斑成都哪家医院好？？医生，我脸上有点斑点，麻烦请...,激光祛斑怎样,想做激光祛斑,
181,外科,男科,请问射精快要怎么治,"你好早泄治疗主要使用一些抗抑郁及镇静剂对器质性病变者使用一些抗生素以治疗原发病等也使用一些麻醉剂或类似药物降低龟头的敏感性,必要时看看中医医生是不是肾虚引起的.。需要适当控制性生活次数,可以服用金锁固精丸或者男宝胶囊改善,严重时看医生检查是不是有其他原因.注意休息",射精过快要怎么治,龟头太敏感，射精快要怎么治疗？,包皮过长射精快要怎么治疗,男人射精快要怎么治疗？,射精快要怎么治疗,过性生活射精太快要怎么治疗,
182,妇产科,女性不孕,女性不孕的表现及调养,你好，根据你的描述，女性不孕表现主要就是没有采取避孕措施，正常性生活两年左右，而没有怀孕。妇科疾病，男科疾病，染色体异常等等都会引起。。建议积极到医院进行不孕不育检查确诊。希望我的回答，能够帮到你。,女性不孕的表现,女性不孕有哪些表现呢?,女性不孕有哪些症状表现?,女性不孕有哪些早期症状表现呢?,女性不孕的症状从什么地方表现?,女性不孕的症状表现你是否知道？,
183,内科,神经内科,脑出血后遗症能否治疗,"造成现在的症状表现，只有恢复大脑神经功能，病情才会明显好转，病情稳定后，鼓励患者做主动锻炼.尽早下床活动，从起床、患肢平衡、站立、行走进行训练指导，逐步增加活动范围和次数，最后帮助进行上下楼梯训练，让患肢得到运动，利于功能的恢复.可以通过纯天然中药治疗比较好，中药龟-龙脑康扶正固本,软坚散结,补益肝肾补气养血,滋阴培元，可直接作用于脑细胞，促进蛋白质合成抗脑皮质缺氧、改善脑能量代谢、加速脑血液循环，有利于病情尽快恢复。。",脑出血康复后遗症能否治疗,脑出血后遗症能否治愈费用多少,脑出血后遗症吃药控制能否根治,脑出血后遗症能否服用脉道通？,脑出血后遗症能否做脑干细胞移植、,脑出血后遗症的治疗,
184,内科,神经内科,得了共济失调应该怎么来治疗,小儿脑瘫有时伴发异常的心理行为问题，如自闭、多动、情绪不稳等症状。健康的家庭环境，增加与同龄儿交往，以及尽早进行心理行为干预是防治心理行为疾患的关键。针对性的肌力和关节活动度训练；痉挛肌的牵伸治疗；。建议：功能性主动活动的强化训练；辅助用具如矫形器、椅子、站立架及轮椅的使用等。,共济失调怎么护理,共济失调患者怎么进食好？,治疗共济失调能痊愈吗,你好，共济失调怎么办,小脑共济失调治疗,得了小脑共济失调怎么办？,
185,内科,头痛,患头痛如何治疗,您好，筛窦炎常常是慢性鼻炎和感冒后治疗不及时迁延发展而成的，主要症状是头痛，头晕，注意力减退等，严重影响生活质量，要积极治疗预防。。建议抗生素要足量足疗程服用，可以选择使用左氧氟沙星或者阿奇霉素+甲硝唑。中医辩证汤剂治疗效果很好，也可以选用中成药如鼻渊片。预防要积极治疗慢性鼻炎，感冒防治并发症。平时注意休息，不要熬夜。不要吃辛辣食物，饮食清淡，积极参加体育锻炼，提高身体免疫力。禁烟酒。,我患筛窦炎长期头痛该如何治疗，又如何预防,近期常头痛胸痛，无精神。患鼻炎，漫性咽喉炎，胆管结石。请问如何治疗？,我父亲患脑血栓，头晕头痛并伴有耳鸣，该...,以往健康，患血管性头痛，无高血压及糖尿...,头痛ˇ以前患过脑供血不足,我患的是偏头痛,
186,内科,截瘫,治疗截瘫的费用到底多少钱,你孩子是得了截瘫，必要时得做手术治疗的，建议您积极配合医生治疗吧，毕竟每个人的病情都是不尽相同的。,截瘫治疗？截瘫康复医院,怎样治疗截瘫，截瘫的治疗费用,截瘫到底多少费用能够治好,截瘫的治疗需要多少费用,截瘫治疗需要费用多少呢,截瘫针灸治疗，中医治疗截瘫病,
187,皮肤科,白癜风,看手部白斑大概需要多少钱,白癜风病的致病因素有很多，根据不同的发病原因实行的治疗方法不同，白癜风病的类型也很多，不同的类型、不同的致病因素、不同的性质使用不同的治疗方法。建议到正规的白癜风专科医院进行治疗，虽然白癜风的治疗难度大，治愈过程漫长，但是只要患者进行科学的治疗，并积极的配合医生的治疗。,看白斑病需要多少钱（早期）,治疗外阴白斑大概需要多少钱,治疗外阴白斑大概需要多少钱,外阴白斑怎么治啊大概需要多少钱,,,
188,内科,肿瘤科,治疗喉癌的方法有哪些,你好，喉癌早期表现咽异物感、咽喉痛、吞咽不适以及声音嘶哑等症状，早期治疗结合肿瘤大小、患者体质综合情况能手术可以先手术切除，术后接受中医继续治疗防止复发转移。喉癌多因肝肾不足、相火炎上，内外合邪，痰或毒结所致，因此中医通过辨证分型后从清肺滋肾着眼运用滋肾培元、清郁解热、健脾燥湿、化痰散结、活血化瘀等中药加快身体恢复减少并发症增强抗邪毒能力，改善生存质量提高远期生存率。,喉癌需要做哪些检查,喉癌患者好治疗吗？,喉癌可以治疗好吗,早期喉癌可以治疗好吗？,喉癌T1治疗,有效治疗喉癌的方法是什么？患了喉癌还能够治疗好吗？,
189,内科,神经内科,老年痴呆症哪个治疗方法好,脑萎缩治疗没有特效药的，但是可以通过服用脑复康和银杏叶片来阻止病情的发展。,北京哪个医院治疗老年痴呆症好,如何治疗老年痴呆症，治疗老年痴呆哪种方法好？,治疗老年痴呆哪个医院好,北京哪里治疗老年痴呆好？,北京老年痴呆治疗哪家好,老年痴呆治疗哪家好？？,
190,内科,肿瘤科,中医治乳腺癌好吗,可以试试的，要有信心，这情况也看看中医大夫，来服用中草药调理。中草药对人体安全无毒，整体上调节身体状态，往往收到奇效。,乳腺癌可以治疗好吗？,求助，中医治疗乳腺癌的早期症状有什么方法？求助，中...,乳腺癌治得好吗？,乳腺癌术后化疗中，自汗、失眠,乳腺癌能治好吗？,前几年妈妈得了乳腺癌，乳腺癌能好吗,
191,传染科,肝病,大三阳怎么治疗及症状,乙肝大三阳一般是指有乙肝病毒感染的乙型肝炎活动的表现。需要使用恩替卡韦来治疗乙型肝炎病毒。同时使用益肝灵来，保护肝脏细胞减少损伤。,大三阳有什么症状？要怎么治疗？,大三阳无症状，需要怎么治疗不？,乙肝怎么治疗大三阳没有症状,乙肝大三阳什么症状没有怎么治疗,无症状乙肝大三阳怎么治疗,大三阳的症状？,
192,内科,神经内科,脑中风后遗症如何治疗效果好,"脑中风后遗症多见于中老年人,大多数有高血压病史.患者急性期早已过,现在还口眼歪斜舌强语涩单侧上下肢瘫痪等,如果不进行有效治疗,以后可能肢体废用性强直挛缩,导致肢体畸形和功能永久性丧失.脑中风后遗症最佳的康复时期是半年内,过了半年到一年恢复得比较慢,过了一年恢复就较差了.所以现在要积极治疗,本病恢复期较好的治疗方法就是针灸推拿,加适当的康复锻炼,。。生活护理:。。注意血压变化；注意保暖；治疗期间注意补充营养；家属帮其适量的按摩,以防肌肉萎缩.",脑中风后遗症那家医院治疗的好,脑中风后遗症怎么治疗好,脑中风后遗症该怎样治疗效果好些,脑中风后遗症怎么治疗好，吃什么药治疗脑中风后遗症最...,脑中风后遗症的治疗方法？我们该如何治疗脑中风后遗症？,"如何治疗脑中风后遗症,治疗脑中风后遗症哪种方法最好？",
193,妇产科,妇科炎症,初期外阴炎症状,你好，外阴炎主要表现为外阴瘙痒、皮肤增厚、粗糙、皲裂，也可以伴有排尿痛。建议可以尊医嘱口服抗菌消炎药，外阴可用1：5000高锰酸钾溶液清洗，多喝水，多吃水果，吃点VC也行，多运动增强体质，少吃辛辣有刺激性的食物，尤其要注意阴部卫生。。,外阴炎有那些症状,您好，外阴炎什么症状？,外阴炎是什么症状？？？,外阴炎的症状及治疗,外阴炎都有什么症状？,外阴炎症状， 怎么治疗,
194,内科,肿瘤科,发现了盆腔癌怎么治疗,"你好，癌症是世界难题，尤其是中晚期，治愈率很低。不要相信某些药物宣传的可以治愈癌症的神话。。晚期癌症患者因为癌细胞消耗性大体质虚弱,癌细胞大多已经多处转移,西医局部治疗效果不佳,而且患者也不能耐受手术与放化疗,服用中药可以全面调理机体内环境,补气养血,扶正祛邪,有效控制病情,缓解痛苦,延长生命..建议采用中医动态的疗法治疗。",盆腔癌晚期有积水怎么治疗,盆腔癌肿瘤晚期，积水，发现疼痛,盆腔癌晚期怎么治疗啊,盆腔癌晚期,请问盆腔癌怎么治疗,盆腔癌中期怎么治疗好,
195,外科,骨科,得了滑膜炎咋治,滑膜主要分布关节周围。于关节腔相通，分泌润滑液润滑关节。在受各种病因（如骨质增生、关节炎、关节结核、风湿病等和创伤性外伤、骨伤、关节内损伤、周围软组织损伤、手术等）刺激或直接刺激滑膜损伤产生炎症反应，而滑膜对炎症的刺激的反应是分泌渗液。要防止过度的疲劳，急性期应适当休息，减少活动，持关节于功能位，但在亚急性或缓解期，可进行关节功能锻炼，体态护理，防止肌肉萎缩、关节强直，保持关节的最佳功能。,,,,,,,
196,精神科,失眠抑郁,出现抑郁症该如何治最好,心理分析：你好，感谢你的信任。抑郁症的症状以持续的心情低落、思维迟滞、行动迟缓、消极悲观、对身边事情不感兴趣、失眠且有食欲不振为主。。心理指导：上述症状满足3条以上且持续时间为半个月，考虑为抑郁症。抑郁症的治疗以药物和心理干预相结合的形式效果更好一些。,抑郁症如何治疗最好,最好的抑郁症治疗医院如何治疗抑郁症,抑郁症如何治疗好？抑郁症什么方法治疗最好,抑郁症如何治疗最好?,抑郁症如何治,如何诊断抑郁症，如何治疗抑郁症,
197,传染科,肝炎,有肝炎能当兵吗,你好：肝炎按照国家规定是不可以当兵的，乙肝要抓紧治疗，别耽误了。该病危害严重，在治疗的时候一定要选择适合自己的方法，避免治疗误区。,为什么有肝炎大不能当兵,肝炎患者能通过当兵检查吗？？我是属于遗传性的乙肝，...,体检当兵血液有问题有肝炎右手有阳性为什么不能去当兵,我去年暑假体检当兵血液有问题有肝炎右手有阳性为什么...,乙肝肝炎怎样能控制,想去当兵。但是体检。乙型肝炎带菌...,
198,传染科,肝病,肝病可以参军吗,"病情分析：你好,我国的征兵体检政策明确规定：乙肝患者或携带者是不能参军,因乙肝患者有传染性,携带者在身体抵抗力低下时可能会转为乙肝大三阳,这些都能将乙肝传染给周边人,部队是一个群体,有一个乙肝患者很容易引起传染流行的.指导意见：我国的征兵体检政策明确规定：乙肝患者或携带者是不能参军.入伍时都会有体检,乙肝两对半就是检查有无乙肝携带者或患者的.增强锻炼,其实人在那里都是为国家作贡献,祝身体健康!",医生你好，有己肝病可以去参军吗？,乙肝病毒携带者可以参军吗,我想参军，可我是乙肝病毒携带者可以参军吗,乙肝病毒携带者，可以吗参军吗？,肝病能参军吗？,乙肝病毒携带者可不可以参军呀?,
199,内科,甲状腺疾病,优甲乐50ug与40mg甲状腺素片如何换...,你好这位朋友，目前的剂量不需要调整，多吃一些海产品，日常生活清淡饮食为主，忌辛辣刺激食物为主，积极运动锻炼身体。养成良好作息时间,优甲乐50ug与40mg甲状腺素片如何换算,优甲乐片与甲状腺素片的换算方法,50微克优甲乐和40毫克甲状腺素片如何换算？,甲状腺素和优甲乐如何换算,一粒40MG甲状腺片4片相当于一粒50UG优甲乐多少片,促甲状腺素单位ulu/ml与mu/l如何换算,
200,皮肤科,皮肤综合,皮肤病诊治,"病情分析：一般来说,发生在皮肤上的各种疾病都可以看皮肤科.指导意见：皮肤瘙痒,皮肤皮疹,水疱,硬结,增生物等,都可以去皮肤科诊治.",你懂中医皮肤病的诊治吗,皮肤病怎么诊治,问题；皮肤病诊治,皮肤病诊治,皮肤病急寻诊治,请帮我诊治皮肤病,
201,妇产科,人流,什么人适合药流,"病情分析：如果怀孕一般在妊娠49天内可以选择药物流产.但药物流产副作用较大,容易导致流产不全,需要清宫处理,对子宫损害较大.指导意见：建议选择超导可视无痛人流术,对子宫内膜伤害最小",什么人不适合做药流？？,什么人适合药流？25天可以么,什么人群不适合药流,什么人适合开眼角？,双子宫左侧正常，右侧囊肿东西异常。适合做什么人流还是药流？,医生您好，什么人适合带美瞳呢？,
202,皮肤科,皮肤综合,皮肤病门诊,"病情分析：成都中医附院的话,门诊周末是有人的,指导意见：这个情况的话,您是可以放心的,成都中医附院皮肤病门诊周末是有人的,是会安排专人值班的,您是可以前去就诊的,但是如果您是有什么疑难杂症的,是要想要咨询专家或者是找专家看诊的话,那周末就不行了,生活护理：如果您要是想看专家的话,说明您的病症还是比较严重的,如果是这样的话,那么为了身体的健康的话,请一两天假也是值得的,",皮肤病门诊,皮肤病门诊跟皮肤性病门诊有什么区别？,哈尔滨皮肤病专科门诊,北京国医堂门诊部看皮肤病专家谁最好,请问浙一皮肤病特需门诊是谁,东方医院皮肤病周日有门诊吗,
203,妇产科,产科综合,做完剖腹产后多久能洗澡？,"病情分析：你好, 半个月就可以, 只能淋浴.指导意见：一定注意一般是 剖腹产2个月不要同房,而且一般是10周恢复排卵.就可能怀孕的啊.而且有的不一定来月经就可能怀孕的啊.另外注意避免接触冷水和洗冷水脚,避免吃辛辣食物.避免盆浴,和重体力劳动.否则容易发生妇科炎症和子宫脱垂等.另外注意休息,多吃优质蛋白食物.",我怀孕4个月多几天，1月8号做完引产，引产后多久能洗澡...,剖腹产后多久能洗澡,剖腹产后多久能洗澡,剖腹产后多久能洗澡?谢谢,剖腹产后好久能洗澡，，,夏季剖腹产后多久能洗澡？,
204,传染科,肝病,有肝病能当兵吗,你好，根据你所提出的问题，有肝病尤其是是慢性肝病，是不能当兵的，军队训练强度大，身体不合格，而且军队集体生活，不能有传染性。,乙肝病毒阳性能当兵吗,我是乙肝病毒携带者能当兵吗,乙肝病毒携带者可以当兵吗？,乙肝病毒携带者可以当兵吗,台州治疗肝病口碑最好的医院？乙肝携带者可以当兵吗？...,乙肝病毒携带者是否可以当兵吗？,
205,妇产科,人流,人流影响怀孕,"病情分析：只要是正规医院做的问题不大指导意见：只要是在正规的医院去做人流手术,注意术后抗感染用药治疗,一般人流后要半年后才可以怀孕的.",人流影不影响怀孕,误会怀孕做人流会影响怀孕不,几次人流影响怀孕,人流会影响怀孕吗,人流会影响以后怀孕吗,做人流会影响以后怀孕吗？,
206,皮肤科,白癜风,白斑病专家,"病情分析：白斑病,是医学上对以皮肤白斑为主要症状的一些疾病的统称.包括白癜风,花斑癣,白色糠疹,先天性无色素痣等.手臂上和脖子上长了很多白斑需要排除花斑癣.指导意见：身上痒吗?建议您先到医院查一下是否是真菌感染,若是,则用抗真菌药物如白癣水及兰美舒治疗即可.若无,可用WOOD检查,看是否为白癜风,若是就要口服免疫调节剂如美能,外用复方卡力孜然酊及新适确的软膏治疗,联合中成药芪风颗粒.面积大可照紫外光.祝您健康!",,,,,,,
207,内科,肿瘤科,癌症的治疗,"病情分析：随着医学的发展癌症病人的生存率和生存时间大大提高.指导意见：你好,早期可采取手术治疗,还有放疗和化疗.根据病理类型结果采取不同的治疗方案",肿瘤，癌症，胃癌，肺癌，癌症治疗,癌症晚期能治疗吗,癌症晚期怎样可以治疗？,癌症咋治疗，吃什么可以治疗,癌症的治疗,治疗膀胱癌症,
208,妇产科,不孕不育,女性不育检查,病情分析：女性不孕最常见的原因是输卵管的病变.指导意见：你应该先查一下输卵管是否有堵塞.如果你的月经不正常还要查一下激素水平.,女性不育不孕做什么检查,女性不孕不育检查项目，不孕不育检查必要吗,不孕不育检查啥？唐山女性不孕不育检查,同了房可以检查女性不孕不育检查吗...,检查女性不孕不育需要那些检查,女性检查不孕不育都需要检查哪些项目?,
209,妇产科,宫颈糜烂,重度宫颈糜烂,"病情分析：重度宫颈糜烂患者最明显的症状就是白带增多,色黄质粘稠,或白带中夹有 血丝,少数患者可以发生性交后出血.炎性白带长期刺激外阴,还可引起外阴瘙 痒症.另外,由于宫颈淋巴道与宫旁结缔组织直接相通,炎症可循淋巴循环扩散 到盆腔,导致盆腔结缔组织炎,出现腰骶酸痛,小腹坠胀等症状.指导意见：宫颈糜烂是慢性宫颈炎的一种,不要轻视,建议做TCT检查.TCT是液基薄层细胞检测的简称,TCT检查是采用液基薄层细胞检测系统检测宫颈细胞并进行细胞学分类诊断,它是目前国际上最先进的一种宫颈癌细胞学检查技 术,与传统的宫颈刮片巴氏涂片检查相比明显提高了标本的满意度及宫颈异常细胞检出率.如果是没有根据的CIN病变,一般的电熨就可以了,如果是考虑以后有生育的要求,可以采用超声聚焦治疗.如果是已经有CIN的病变,二级一下的,可以采用leep治疗",TCT重度炎症 重度宫颈糜烂,宫颈糜烂重度,宫颈糜烂重度,宫颈糜烂重度,宫颈糜烂重度,颗粒型宫颈糜烂重度,
210,妇产科,人流,意外怀孕打胎,"病情分析：怀孕后打胎是很伤原气的!这个在手术后要特别注意饮食生活方面指导意见：吃的不要吃寒性的,可吃点红枣烫,乌鸡烫,小米粥,鲫鱼烫等到相当于做小月子!记住千万不可冷到,不要碰冷水!生活护理：祝你健康!",意外怀孕要打胎,意外怀孕打胎时间,意外怀孕吃打胎药好吗,意外怀孕了打胎可以嘛,意外怀孕咯 该怎样去打胎,意外怀孕吃啥药可以打胎,
211,妇产科,人流,可视人流价格,"病情分析：价格大约在1500左右的.不过每个医院的价钱是不一样的指导意见：建议选择超导可视无痛人流术,对子宫内膜伤害最小.",想做微管可视人流想知道价格,可视人流的价格是多少,我想请问可视人流的价格是多少,,,,
212,外科,男科,阴囊潮湿怎么办,"病情分析：你好 阴囊潮湿是慢性前列腺炎的典型症状之一,也与长期久坐,热的环境中工作以及精索静脉曲张有关.指导意见：如果您是前列腺炎患者,阴囊潮湿就与前列腺炎有关.由于阴囊皮肤皱褶较多,汗腺较多,分泌力强,空气不易流通,穿化纤等紧身内衣裤会使透气情况变得更糟.",我阴囊潮湿    怎么办,你好：阴囊潮湿怎么办？？,阴囊潮湿怎么办呢,阴囊潮湿怎么办啊        ？,阴囊潮湿怎么办？谢谢！,阴囊潮湿，早泄怎么办？,
213,外科,男科,患有射精快有什么治疗方法,"你好;可以在医生指导下用男宝胶囊和金锁固精丸试试.积极参加体育锻炼,勿纵欲,勿疲劳后行房,。建议：多食一些具有补肾固精作用的食物,如牡蛎,胡桃肉,芡实,栗子,甲鱼,文蛤,鸽蛋,猪腰等.不宜食用过于辛热的食品,",射精快，痛早泄有什么治疗方法,作爱射精快有什么方法治疗,射精快用什么方法可以治疗,射精快是什么原因？有什么治疗方法？,射精快的治疗方法是什么？,龟头大又敏感.射精快用什么方法可以治疗好,
214,外科,泌尿外科,尿频、尿少,"病情分析：从症状来看应该是神经性尿频指导意见：建议注意休息,避免精神紧张,可以用调节植物神经功能的药物如谷维素配合金樱子颗粒口服治疗",尿频尿少,尿频尿少,尿频，尿少是啥原因,夜里尿少，尿频，尿不尽,尿频，影响睡眠，尿少,就是白天尿少可夜间尿频,
215,精神科,精神科综合,神经衰弱怎么样治疗才能好,。你好，灵芝就已用于神经衰弱症与失眠，故它对中枢起到良好的作用。提取物能激发运动性抑制，使运动性降低，使协调运动失调、呈现用量依赖性镇病效果，对环已巴比妥睡眠作用能缩短睡眠时间，能延长中枢兴奋药咖啡因致痉挛及死亡的时间，这些结果表明，灵芝对中枢呈抑制性作用。,脑神经衰弱是怎么样的呢？好治疗吗？,神经衰弱该怎么样治疗 怎么样可以尽...,神经衰弱怎么样治疗，在哪治疗比有些好，要多久时间才能治好，神经衰弱回有什么些症状？,神经衰弱怎么样治疗可以治好吗,资灵芝对治疗神经衰弱怎么样,怎么样治疗神经衰弱最好最有效？最...,
216,皮肤科,白癜风,白癜风遮盖,"病情分析：你好,由于人体的表皮细胞始终处于新陈代谢中,旧的表皮角质层细胞会随着新的表皮角质细胞的不断生成而逐渐脱落,28天为一个正常代谢周期.白癜风遮盖剂生成的皮肤色素在身体上的保留时间是和表皮细胞的代谢周期是一致的,这种色素会也会随着最外层表皮细胞的不断脱落而颜色逐渐变浅.指导意见：建议：白癜风遮盖剂是一种有专门针对白癜风人群的特殊化妆品,它是一种耐水,耐磨,长效,安全的专门用于白癜风引起的白斑皮肤的遮盖剂,它不怕水洗,不怕出汗,防水耐磨,可维持的时间为5～7天,同时不影响其他治疗性药物的吸收.",白癜风遮盖治疗的危害,白癜风有遮盖药吗,白癜风遮盖剂可以遮盖白斑吗？,白癜风能遮盖住吗?怎么遮盖?,白癜风遮盖液,,
217,妇产科,妇科综合,女性无痛人流,"病情分析：您好：药流和人流对身体均有不良影响.药流后一般出血时间较长,容易引起感染.而且出现流产不全的可能性较高,很多人还是要再次清宫.指导意见：因此目前多主张做人流,建议你一定去当地正规医院,或者保健院进行手术来治疗才可以的.",做无痛人流对女性有限制吗？有哪些病症的女性不能做无痛人流...,女性有宫颈炎可以做无痛人流吗,做无痛人流的女性要注意什么呢,铜陵无痛人流去哪家？女性应该做好哪些准备啊？？铜陵...,福州女性无痛人流去哪家医院比较好？,女性做完无痛人流会不会引起盆腔炎?,
218,妇产科,人流,药流前做b超吗,"病情分析：药流前是要做b超的.此外,药流的费用可能更高于人流,危害也大于人流.指导意见：在做药流前是需要做b超检查的,b超检查是确认孕囊是否在宫腔内,如果不在宫腔内就需要宫外孕手术,是不能使用药物的方式来终止妊娠的",药流前是做B超还是彩超？,药流后怎么样不用做B超，还有药流前用做B超吗？,做药流前要做B超吗？可以买药在,药流前去医院做B超好还是检查HCG好？B...,药流前没做B超，药流6天后做B超显示，左侧...,药流前没有做B超，然后没有干净,
219,妇产科,人流,堕胎药价格,病情分析：你好.现在的堕胎药都是固体的药片.指导意见：商店里面是不允许买流产药的.建议你到医院在医生的监督指导下进行药物流产.祝你身体健康.,敦化哪里买堕胎药,需要堕胎药,堕胎药,堕胎药什么品牌比较安全,哪种堕胎药比较好，，,吃堕胎药影响生育吗。,
220,外科,结石科,胆结石用中医治疗,"你好，患有胆结石，如果这时结石比较小的情况下，是可以通过中医来治疗的，但中医治疗疾病是讲究辨症施治的,病人或家属最好是到医院去,医生会根据病人的病情,症状来对症下药的.只有经过医生的诊治后,医生才能通过中药的合理配伍,使药物发恢最佳的治疗效果的.祝病人早日康复!。。。",胆结石中医怎么治疗?怎样用中医治疗胆结石?胆结石治疗,想用中医治疗胆结石,◎胆结石中医怎么治疗?◎胆结石中医怎么治疗?≌胆结石的治疗怎么不用手术,怎样用中医治疗胆结石？胆结石应怎样治疗？胆结石症状,怎样用中医治疗胆结石？胆结石术后吃些什么好？胆结石治疗,胆结石啥症状？怎样用中医治疗胆结石？胆结石自然疗法的效果,
221,内科,甲状腺疾病,出现甲亢怎么样治疗好得快,"甲亢怎么治疗好得快。你好,此病一个慢性的过程呀,现在是没有什么特别的药可以快速治愈的呀,甲亢怎么治疗好得快。。。建议可以用点他巴唑片和心得安片进行治疗呀,也可到医院去采用手术或是碘131治疗呀。。。。。。。。甲亢怎么治疗好得快。祝好",甲亢怎么治疗好得快,甲亢怎么治疗好得快,甲亢怎么治疗好得快,治疗甲亢吃什么药好得快？治疗甲亢吃什么药好得快。,甲亢如何治疗好得快。,你好甲亢怎么治疗比较好得快,
